Code,Experience,Fleet,PrimaryUse,Radius,SizeClass,Type
0387,,Fleet,SSA_Other,LessThan50Miles,,PublicTransport
0388,,Fleet,SSA_Other,50-200Miles,01-Aug,PublicTransport
0389,,Fleet,SSA_Other,50-200Miles,Sep-20,PublicTransport
0390,,Fleet,SSA_Other,50-200Miles,21-60,PublicTransport
0391,,Fleet,SSA_Other,50-200Miles,over60,PublicTransport
0392,,Fleet,SSA_Other,50-200Miles,,PublicTransport
0393,,NonFleet,,LessThan50Miles,Semitrailer,Commercial
0394,,NonFleet,,50-200Miles,Semitrailer,Commercial
0395,,NonFleet,,200PlusMiles,Semitrailer,Commercial
0396,,Fleet,,LessThan50Miles,Semitrailer,Commercial
0397,,Fleet,,50-200Miles,Semitrailer,Commercial
0398,,Fleet,,200PlusMiles,Semitrailer,Commercial
0399,,NonFleet,,LessThan50Miles,Trailer,Commercial
0400,,NonFleet,,50-200Miles,Trailer,Commercial
0401,,NonFleet,,200PlusMiles,Trailer,Commercial
0402,,Fleet,,LessThan50Miles,Trailer,Commercial
0403,,Fleet,,50-200Miles,Trailer,Commercial
0404,,Fleet,,200PlusMiles,Trailer,Commercial
0405,,NonFleet,,LessThan50Miles,ServiceUtilityTrailer,Commercial
0406,,NonFleet,,50-200Miles,ServiceUtilityTrailer,Commercial
0407,,NonFleet,,200PlusMiles,ServiceUtilityTrailer,Commercial
0408,,Fleet,,LessThan50Miles,ServiceUtilityTrailer,Commercial
0409,,Fleet,,50-200Miles,ServiceUtilityTrailer,Commercial
0410,,Fleet,,200PlusMiles,ServiceUtilityTrailer,Commercial
0411,,,AutoDeliveryPickUp,,,Special
0412,,,RentalTruck,,,Special
0413,,,RentalTractor,,,Special
0414,,,RentalTrailer,,,Special
0415,,,RentalPPAuto,,,Special
0416,,,RentalMotorHome,,,Special
0417,,,RentalMisc,,,Special
0418,,,LeasingContingentCov,,,Special
0419,AllDriversExpMore5,NonFleet,,0,,Passenger Vehicle
0420,AllDriversExpMore5,NonFleet,,15orLess,,Passenger Vehicle
0421,AllDriversExpMore5,NonFleet,,15orMore,,Passenger Vehicle
0422,MainDriverExpMore5,NonFleet,,0,,Passenger Vehicle
0423,MainDriverExpMore5,NonFleet,,15orLess,,Passenger Vehicle
0424,MainDriverExpMore5,NonFleet,,15orMore,,Passenger Vehicle
0425,AllOther,NonFleet,,,,Passenger Vehicle
0426,MainDriverExpLess5,NonFleet,,0,,Passenger Vehicle
0427,MainDriverExpLess5,NonFleet,,15orLess,,Passenger Vehicle
0428,MainDriverExpLess5,NonFleet,,15orMore,,Passenger Vehicle
0429,AllOther,Fleet,,,,Passenger Vehicle
0430,,,BobtailOperation,,,Special
0431,,,FireDepartmentPP,,,Special
0432,,,FireDepartmentOther,,,Special
0433,,,LawEnforcementPP,,,Special
0434,,,LawEnforcementOther,,,Special
0435,,,FuneralLimousine,,,Special
0436,,,FuneralHearse,,,Special
0437,,,RepossessedAutomobile,,,Special
0438,,,DriverTraining,,,Special
0439,,,CommDrivingSchool,,,Special
0440,,,LawEnforcementMCycle,,,Special
0441,,,MobileHomeLess22Ft,,,Special
0442,,,MobileHomeGreater22Ft,,,Special
0443,,,MobileHomeCamperBody,,,Special
0444,,,MobileHomeTrailorLQ,,,Special
0445,,,Snowmobiles,,,Special
0446,,,GolfMobiles,,,Special
0447,,,Antique,,,Special
0448,,,,,,
